,Training samples,Quantile Size,Quantile,Recall,Enrichment Factor,overlap_ratio,pool_ratio,max_enrichment_factor,Feature,Overlap,Ratio_D,Ratio_R
0,1000,601,0.01,0.03494176372712146,2.0985673876871878,0.021,0.010006826620489852,60.059,Morgan Fingerprint,21,60.059,0.03494176372712146
1,1000,3003,0.05,0.1341991341991342,8.0598658008658,0.403,0.05000083251469389,60.059,Morgan Fingerprint,403,60.059,0.1341991341991342
2,1000,6006,0.1,0.166999666999667,10.029833000333001,1.003,0.10000166502938777,60.059,Morgan Fingerprint,1003,60.059,0.166999666999667
3,1000,601,0.01,0.03161397670549085,1.8987038269550747,0.019,0.010006826620489852,60.059,ChemBERTa-2,19,60.059,0.03161397670549085
4,1000,3003,0.05,0.17715617715617715,10.639822843822843,0.532,0.05000083251469389,60.059,ChemBERTa-2,532,60.059,0.17715617715617715
5,1000,6006,0.1,0.2615717615717616,15.70973842823843,1.571,0.10000166502938777,60.059,ChemBERTa-2,1571,60.059,0.2615717615717616
6,1000,601,0.01,0.0016638935108153079,0.09993178036605657,0.001,0.010006826620489852,60.059,MolFormer,1,60.059,0.0016638935108153079
7,1000,3003,0.05,0.019314019314019316,1.159980685980686,0.058,0.05000083251469389,60.059,MolFormer,58,60.059,0.019314019314019316
8,1000,6006,0.1,0.046620046620046623,2.7999533799533802,0.28,0.10000166502938777,60.059,MolFormer,280,60.059,0.046620046620046623
9,5000,601,0.01,0.051580698835274545,0.6195770382695507,0.0062,0.010006826620489852,12.0118,Morgan Fingerprint,31,12.0118,0.051580698835274545
10,5000,3003,0.05,0.20013320013320013,2.403959973359973,0.1202,0.05000083251469389,12.0118,Morgan Fingerprint,601,12.0118,0.20013320013320013
11,5000,6006,0.1,0.24525474525474525,2.945950949050949,0.2946,0.10000166502938777,12.0118,Morgan Fingerprint,1473,12.0118,0.24525474525474525
12,5000,601,0.01,0.16805324459234608,2.0186219633943425,0.0202,0.010006826620489852,12.0118,ChemBERTa-2,101,12.0118,0.16805324459234608
13,5000,3003,0.05,0.31601731601731603,3.7959367965367963,0.1898,0.05000083251469389,12.0118,ChemBERTa-2,949,12.0118,0.31601731601731603
14,5000,6006,0.1,0.38578088578088576,4.633922843822844,0.4634,0.10000166502938777,12.0118,ChemBERTa-2,2317,12.0118,0.38578088578088576
15,5000,601,0.01,0.1480865224625624,1.778785690515807,0.0178,0.010006826620489852,12.0118,MolFormer,89,12.0118,0.1480865224625624
16,5000,3003,0.05,0.26073926073926074,3.131947852147852,0.1566,0.05000083251469389,12.0118,MolFormer,783,12.0118,0.26073926073926074
17,5000,6006,0.1,0.30885780885780884,3.709938228438228,0.371,0.10000166502938777,12.0118,MolFormer,1855,12.0118,0.30885780885780884
18,10000,601,0.01,0.1048252911813644,0.6295702163061564,0.0063,0.010006826620489852,6.0059,Morgan Fingerprint,63,6.0059,0.1048252911813644
19,10000,3003,0.05,0.24975024975024976,1.499975024975025,0.075,0.05000083251469389,6.0059,Morgan Fingerprint,750,6.0059,0.24975024975024976
20,10000,6006,0.1,0.29686979686979686,1.782970313020313,0.1783,0.10000166502938777,6.0059,Morgan Fingerprint,1783,6.0059,0.29686979686979686
21,10000,601,0.01,0.23627287853577372,1.4190312811980033,0.0142,0.010006826620489852,6.0059,ChemBERTa-2,142,6.0059,0.23627287853577372
22,10000,3003,0.05,0.3692973692973693,2.21796307026307,0.1109,0.05000083251469389,6.0059,ChemBERTa-2,1109,6.0059,0.3692973692973693
23,10000,6006,0.1,0.43156843156843155,2.5919568431568427,0.2592,0.10000166502938777,6.0059,ChemBERTa-2,2592,6.0059,0.43156843156843155
24,10000,601,0.01,0.09317803660565724,0.5596179700499168,0.0056,0.010006826620489852,6.0059,MolFormer,56,6.0059,0.09317803660565724
25,10000,3003,0.05,0.24209124209124208,1.4539757908757907,0.0727,0.05000083251469389,6.0059,MolFormer,727,6.0059,0.24209124209124208
26,10000,6006,0.1,0.31185481185481184,1.8729688145188144,0.1873,0.10000166502938777,6.0059,MolFormer,1873,6.0059,0.31185481185481184
