smiles,affinity,iteration
COC(=O)c1c(OC(=O)CCc2c(C)[nH]c3ccccc23)ccc2c1CCCC2,-37.76464090323814,-1
COC(=O)c1c(OC(=O)CCc2c[nH]c3cc(C)ccc23)ccc2c1CCCC2,-39.52244360304756,0
COC(=O)c1cc(F)cc(OC(=O)CCc2c[nH]c3cc(C)ccc23)c1,-35.395853704571486,1
Cc1cc(OCCCC2CCC2)cc(C)c1Cl,-33.4982397059048,2
COC(=O)c1c(OC(=O)CCc2c[nH]c3ccc(C)cc23)ccc2c1CCCC2,-40.227594139238114,3
COC(=O)c1c(OC(=O)CCc2c[nH]c3cccc(C)c23)ccc2c1CCCC2,-35.230636078666684,4
COC(=O)Cc1ccccc1OC(=O)CCc1c[nH]c2ccccc12,-33.81118408647624,5
COC(=O)c1c(OC(=O)CCc2c[nH]c3c(C)cccc23)ccc2c1CCCC2,-27.879732855238125,6
COC(=O)C1(OC(=O)CCc2c[nH]c3ccc(C)cc23)CC1,-27.865746305142856,7
O=C(OCc1cc(Cl)cc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-47.43610274514287,8
O=C(OCc1ccc(Cl)c2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-35.21550982723814,9
O=C(OCc1cc(F)cc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-46.49352254095236,10
O=C(OCc1ccc(F)c2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-47.63834710761903,11
O=C(OCc1cc(F)c2c(c1)CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-44.26557502380948,12
O=C(OCc1ccc2c(c1F)CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-41.31944504152379,13
O=C(OCc1cc(Br)cc2c1OCC2)c1[nH]c2c(Br)cccc2c1CCCO,-39.42159090000002,14
O=C(OCc1cc(Cl)cc2c1OCC2)c1[nH]c2c(Br)cccc2c1CCCO,-40.77211255085711,15
O=C(OCc1c(F)c(F)cc(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-38.42156276266667,16
O=C(OCc1cccc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-49.43751052609524,17
O=C(O[C@H](CF)c1cccc(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-40.13445987371432,18
O=C(OCc1ccc2c(c1)CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-42.32520060095237,19
O=C(OC[C@@H]1CCCCC12CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-36.40853005352377,20
O=C(OCc1ccc2c(c1)CC2)c1[nH]c2c(Br)cccc2c1CCCO,-38.89909357657143,21
O=C(OCc1cc(F)nc(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-38.17630908190477,22
O=C(OCc1cccc2c1CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-53.876397106857176,23
O=C(OCc1cccc2c1SCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-49.186657427619096,24
O=C(OCc1ccc2c(c1)CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-44.06218418019047,25
O=C(OCc1cccc2c1OCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-41.47401461733333,26
Cc1[nH]c2ccccc2c1CCC(=O)Oc1cccc2c1CCCC2,-26.961016134666615,27
O=C(OCCc1cc(F)ccc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-26.93674961600006,28
O=C(OCc1ccc2c(c1)CCCS2)c1[nH]c2c(Br)cccc2c1CCCO,-40.78547694990477,29
O=C(OCc1csc(C2CCCC2)n1)c1[nH]c2c(Br)cccc2c1CCCO,-46.8447465179048,30
O=C(OCc1csc(-c2ccsc2)n1)c1[nH]c2c(Br)cccc2c1CCCO,-36.73849988342855,31
O=C(OCc1noc2c1COCC2)c1[nH]c2c(Br)cccc2c1CCCO,-37.618750823428655,32
O=C(OCc1ccc(SC(F)F)cc1)c1[nH]c2c(Br)cccc2c1CCCO,-39.87935820171429,33
O=C(OCc1nc2c(s1)CCCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-33.47402793371429,34
O=C(OCCCSCc1ccccc1)c1[nH]c2c(Br)cccc2c1CCCO,-38.58383986076186,35
O=C(OCc1cc(O)cc(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-39.40198462666662,36
Cc1cc2c(c(COC(=O)c3[nH]c4c(Br)cccc4c3CCCO)c1)CCC2,-42.96387264266661,37
Cc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc2c1CCC2,-37.52386572323812,38
O=C(OCc1ccc2c(c1)COC2)c1[nH]c2c(Br)cccc2c1CCCO,-23.65743212933339,39
Cc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c2c1CCC2,-45.99067935466668,40
O=C(OCc1ccc(CC(F)F)cc1)c1[nH]c2c(Br)cccc2c1CCCO,-40.69053106171428,41
O=C(OCc1ccc(C(F)F)c(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-29.95103727752381,42
C[C@@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccc2c(c1)CCC2,-48.19724835904755,43
C[C@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccc2c(c1)CCC2,-34.278921663238165,44
O=C(OC[C@H]1CCCCC12CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-42.9558523864762,45
O=C(OC[C@H]1CCC12CC2)c1[nH]c2c(Br)cccc2c1CCCO,-29.914141078476234,46
CCc1cc(F)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-41.85668686914288,47
CCc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-41.120700080380914,48
C=CCc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-44.30555764247616,49
C=CCc1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-45.132992614285726,50
CCc1cc(F)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-41.91139577238091,51
CCc1c(F)cccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-44.69995364,52
CCc1ccc(F)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-43.96329536609523,53
CCc1cccc(F)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-42.56452959219049,54
CCc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1F,-45.77733522971428,55
CCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1F,-39.40699089847618,56
CSc1ccc(Br)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-46.830647928952295,57
CCc1ccc(C)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-43.734724921523785,58
CCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1C,-43.903776643047614,59
CCc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1C,-45.23664725066671,60
CCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(C)c1,-43.94847285352382,61
CCc1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-43.89439962571426,62
CCc1ccc(C)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-44.411161620761945,63
CCc1cccc(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-46.76106138495237,64
CCc1c(C)cccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-32.68198251257146,65
CCc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(F)c1,-37.53718984076188,66
CCc1cccc(CC)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-33.95980822838098,67
CSc1ccc(CCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-29.729552532952415,68
CCNC(=O)c1cccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1,-32.41297233542862,69
CCCc1ccccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-47.71063501161903,70
Cc1cc(F)c(Br)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-45.79365726685719,71
