smiles,target,name
COc1ccc([N+](=O)[O-])cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-54.68426450285715,ZINCtL000014Qw97
O=C(OCc1cccc2c1CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-53.876397106857176,ZINCsU00001b6zrh
O=C(OCc1c(Cl)oc2ccccc12)c1[nH]c2c(Br)cccc2c1CCCO,-53.52617381276188,ZINCsU00001aYbfK
COc1ncc(Br)c(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-52.599412244380936,ZINCsQ00001e1YP6
C[C@@H]1CC[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)[C@@H](C)C1,-52.51879189314285,ZINCtV000002EVzt
COc1c(Cl)ccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-52.51388878495241,ZINCsU00001bHhj3
C[C@H](CN1CCOCC1)OC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-51.92262708361907,ZINCqx00000sco5w
O=C(OCc1c(Cl)ccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-51.49936725428576,ZINCtU00000Q2DT7
CN(CCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,-51.4945082952381,ZINCrL00000EVEXc
Cc1cccc2c(CCC(=O)O[C@@H]3CCCC[C@@H]3[C@@H]3CCC[C@H](C)C3)c[nH]c12,-51.389752950095215,ZINCsV000004dQb9
NS(=O)(=O)NCCCNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-51.09499117314286,ZINCpd000017BJcS
O=C(OCc1c(Br)cc(F)cc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-50.82010996876194,ZINCtU00000SaWO8
Cc1cc(Br)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-50.49749131942853,ZINCrU00000H9xib
C=CCCCCCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-50.13097836647615,ZINCpU00000MHar0
Cc1ccc(OCCCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1C,-50.03187023504772,ZINCtU00000Qxdl3
O=C(CCc1c(-c2ccccc2)[nH]c2ccccc12)O[C@@H]1CCC[C@@H]2CCO[C@H]21,-50.02694935942857,ZINCtU00000RtaTS
Cc1[nH]c2ccccc2c1CCC(=O)OC1CC(N(C)C)C1,-49.98387730857147,ZINCmA000003v4uE
C[C@@H]1CC[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C[C@@H]1C,-49.95546256152376,ZINCtV000002EW9i
Cc1ccc([C@@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1[N+](=O)[O-],-49.93013694361899,ZINCtT00000QZWUK
Cc1cc(C2CC2)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.88963756914285,ZINCsU00001Hl70T
C[C@H](CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO)N1CCCC1,-49.88095597447622,ZINCpA00000wGtBb
O=C(O[C@H]1CCc2c(F)cccc21)c1[nH]c2c(Br)cccc2c1CCCO,-49.86772973619045,ZINCrS00000HsWdh
CC1(C)CCC(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)CC1,-49.85719731561897,ZINCtW000002Qr6W
COc1c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cccc1[N+](=O)[O-],-49.84950835790482,ZINCtL000015Lnvv
O=C(OCCOCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,-49.816487758857065,ZINCpI00000wRLqL
O=C(OCC(Br)=C1CCOCC1)c1[nH]c2c(Br)cccc2c1CCCO,-49.7818540820952,ZINCqO00000sO8KH
C[C@@H]1CCC[C@@H](CCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C1,-49.71499881333329,ZINCqU00000D5mfC
O=C(OCc1cc(Cl)cc(Cl)c1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-49.70041332247613,ZINCtU000017Tkcq
CC(C)c1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-49.64279187466669,ZINCrU00000GQXvF
CN1CC[C@@H](CCC(=O)O[C@@H]2CCCc3ccc(Br)cc32)C1,-49.61679106590469,ZINCmL00000L8XWn
C[C@@H]1CC[C@@H](C)[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C1,-49.48428235123806,ZINCtV000002DgFd
O=C(OCc1cccc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-49.43751052609524,ZINCrR00000TRAfo
O=C(OCc1c(Br)ccc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-49.410258420000034,ZINCrU00000H3fUc
CN(CCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)C1CCCCC1,-49.40100634209524,ZINCsQ00001f5luV
NS(=O)(=O)NCCNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.35767602247618,ZINCo900000PKeTz
CN1C[C@@H](NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C[C@H]1CO,-49.27438249485715,ZINCpm00000SkaMQ
Cc1noc(C(C)C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.2550039491429,ZINCrQ00000FiLSz
O=C(OCc1c(F)ccc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-49.23936237885717,ZINCrU00000EKcWB
