name,smiles,target
ZINCtL000014Qw97,COc1ccc([N+](=O)[O-])cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-43.393463333333344
ZINCsU00001b6zrh,O=C(OCc1cccc2c1CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-44.42326476190479
ZINCsU00001aYbfK,O=C(OCc1c(Cl)oc2ccccc12)c1[nH]c2c(Br)cccc2c1CCCO,-43.61663285714284
ZINCsQ00001e1YP6,COc1ncc(Br)c(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-43.44435666666668
ZINCtV000002EVzt,C[C@@H]1CC[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)[C@@H](C)C1,-40.20080023809524
ZINCsU00001bHhj3,COc1c(Cl)ccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-41.963520714285735
ZINCqx00000sco5w,C[C@H](CN1CCOCC1)OC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-36.523677857142886
ZINCtU00000Q2DT7,O=C(OCc1c(Cl)ccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-41.07266880952386
ZINCrL00000EVEXc,CN(CCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,-40.41901380952381
ZINCsV000004dQb9,Cc1cccc2c(CCC(=O)O[C@@H]3CCCC[C@@H]3[C@@H]3CCC[C@H](C)C3)c[nH]c12,-39.803940238095215
ZINCtU00000SaWO8,O=C(OCc1c(Br)cc(F)cc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-41.74323666666671
ZINCrU00000H9xib,Cc1cc(Br)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-41.30046380952378
ZINCpU00000MHar0,C=CCCCCCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-41.64892071428567
ZINCtU00000Qxdl3,Cc1ccc(OCCCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1C,-39.966240714285824
ZINCtU00000RtaTS,O=C(CCc1c(-c2ccccc2)[nH]c2ccccc12)O[C@@H]1CCC[C@@H]2CCO[C@H]21,-37.65251833333333
ZINCmA000003v4uE,Cc1[nH]c2ccccc2c1CCC(=O)OC1CC(N(C)C)C1,-32.81894809523813
ZINCtV000002EW9i,C[C@@H]1CC[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C[C@@H]1C,-39.17232690476186
ZINCtT00000QZWUK,Cc1ccc([C@@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1[N+](=O)[O-],-40.01628523809519
ZINCsU00001Hl70T,Cc1cc(C2CC2)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-39.31381904761904
ZINCrS00000HsWdh,O=C(O[C@H]1CCc2c(F)cccc21)c1[nH]c2c(Br)cccc2c1CCCO,-41.723320238095205
ZINCtW000002Qr6W,CC1(C)CCC(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)CC1,-38.1571035714285
ZINCtL000015Lnvv,COc1c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cccc1[N+](=O)[O-],-38.72994904761912
ZINCpI00000wRLqL,O=C(OCCOCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,-41.29415952380945
ZINCqO00000sO8KH,O=C(OCC(Br)=C1CCOCC1)c1[nH]c2c(Br)cccc2c1CCCO,-39.36427761904757
ZINCqU00000D5mfC,C[C@@H]1CCC[C@@H](CCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C1,-40.7165071428571
ZINCtU000017Tkcq,O=C(OCc1cc(Cl)cc(Cl)c1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-40.28100357142851
ZINCrU00000GQXvF,CC(C)c1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-39.1975497619048
ZINCtV000002DgFd,C[C@@H]1CC[C@@H](C)[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C1,-37.1751333333333
ZINCrR00000TRAfo,O=C(OCc1cccc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-38.98388761904762
