smiles,target,name
C[C@@H](CC(=O)Oc1cccc2c1-c1ccccc1C2=O)c1c[nH]c2ccccc12,-11.909,ZINCtU00000a9pzt
O=C(CCc1c[nH]c2ccccc12)Oc1cccc2c1-c1ccccc1C2=O,-11.496,ZINCsT00000f0Qkh
Cc1[nH]c2ccccc2c1CCC(=O)Oc1cccc2c1-c1ccccc1C2=O,-11.461,ZINCtU00000ltOvx
Cc1ccc2ccccc2c1OC(=O)C[C@H](C)c1c[nH]c2ccccc12,-11.336,ZINCqU000002Ndyy
O=C(CCc1c[nH]c2ccccc12)Oc1cccc2c1C(=O)c1ccccc1C2,-11.29,ZINCtS000000INAV
CC(=O)N[C@@H](Cc1c[nH]c2c(C)cccc12)C(=O)O[C@@H]1CCCc2ccccc21,-11.286,ZINCtL0000000sQV
Cc1cccc2c(CCC(=O)O[C@H]3c4ccccc4CC[C@@H]3F)c[nH]c12,-11.256,ZINCqT000001Vwl3
Cn1cc(CCC(=O)O[C@H]2c3ccccc3CC[C@@H]2F)c2ccccc21,-11.243,ZINCqQ0000062QZX
Cc1c2c(nc3ccccc13)[C@H](OC(=O)CCc1c[nH]c3ccccc13)CCC2,-11.225,ZINCtU00000S2UH6
Cc1cccc2[nH]cc(CCC(=O)Oc3cccc4c3-c3ccccc3C4=O)c12,-11.22,ZINCtU00000aQ05f
Cc1[nH]c2ccccc2c1CCC(=O)O[C@@H]1CCCc2ccccc21,-11.192,ZINCpU00000r9LdD
Cc1ccc2[nH]cc(CCC(=O)Oc3cccc4c3-c3ccccc3C4=O)c2c1,-11.18,ZINCtU00000aLAY3
Cc1[nH]c2ccccc2c1CCC(=O)O[C@@H]1CCCc2c(F)cc(F)cc21,-11.175,ZINCrU00000lJFJ4
C[C@@H](CC(=O)O[C@@H]1CCCc2ccccc21)c1c[nH]c2ccccc12,-11.169,ZINCpU000009Ywmg
Cc1cccc2c(CCC(=O)Oc3cccc4c3-c3ccccc3C4=O)c[nH]c12,-11.161,ZINCtU00000aQ0VD
Cn1cc(C(=O)C(=O)COc2cccc3[nH]c4ccccc4c23)c2ccccc21,-11.15,ZINCtQ00000RAvlF
Cc1cccc2c(CCC(=O)Oc3ccc(F)c4c3C(=O)C[C@H]4C)c[nH]c12,-11.149,ZINCrS000002htUq
C[C@@H](CC(=O)O[C@H]1CCCc2c(F)cc(F)cc21)c1c[nH]c2ccccc12,-11.143,ZINCrU000003cd05
Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc(F)c2c1C(=O)C[C@H]2C,-11.125,ZINCrS00000kMM1d
C[C@@H](CC(=O)O[C@@H]1CCCc2ccc(F)cc21)c1c[nH]c2ccccc12,-11.119,ZINCqU000002wS8d
Cc1cccc2c(CCC(=O)O[C@H]3c4ccccc4CC[C@H]3F)c[nH]c12,-11.119,ZINCqT000001Vwl4
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O[C@@H]1CCCc2ccccc21,-11.118,ZINCsI0000000umI
Cc1ccc2ccccc2c1OC(=O)CCc1c(C)[nH]c2ccccc12,-11.092,ZINCqU00000h3ZZG
C[C@@H]1CC(=O)c2c(OC(=O)CCc3cn(C)c4ccccc34)ccc(F)c21,-11.087,ZINCrP000001sUED
Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc(C)c2ccccc12,-11.081,ZINCqU00000hjGIw
Cc1cccc2c(OCC(=O)C(=O)c3cn(C)c4ccccc34)cccc12,-11.076,ZINCrO00000Lem6S
Cc1[nH]c2ccccc2c1CCC(=O)Oc1cccc2c1CCCC(=O)N2,-11.075,ZINCrM00000apuxg
Cc1cccc2c(CCC(=O)O[C@@H]3CCCc4ccc(F)cc43)c[nH]c12,-11.069,ZINCqU000002Omou
Cn1cc(C(=O)C(=O)COc2cccc3c2oc2ccccc23)c2ccccc21,-11.041,ZINCtT00000RPtlN
Cc1[nH]c2ccccc2c1CC(F)(F)C(=O)O[C@@H]1CCCc2ccc(F)cc21,-11.04,ZINCsU00001aCxtV
Cc1[nH]c2ccccc2c1CCC(=O)O[C@@H]1CCCc2ccc(F)cc21,-11.04,ZINCqU00000gPpi0
Cc1cccc2c(CCC(=O)Oc3ccc4c(c3)c3c(n4C)CCCC3)c[nH]c12,-11.027,ZINCtU0000024uWW
Cc1ccc(OC(=O)CCc2cn(C)c3ccccc23)c2ccccc12,-11.024,ZINCqU000002LNmc
Cc1ccc(OC(=O)CCc2c[nH]c3c(C)cccc23)c2ccccc12,-11.018,ZINCqU000002LNlO
