name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score
ZINCtL000014Qw97,COc1ccc([N+](=O)[O-])cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,COc1ccc([N+](=O)[O-])cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-54.68426450285715,0.7203696407855512,-43.393463333333344,0.8801793420969302,-8.206
ZINCsU00001b6zrh,O=C(OCc1cccc2c1CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1cccc2c1CCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-53.876397106857176,0.6308379506005916,-44.42326476190479,0.7060638163043559,-9.915
ZINCsU00001aYbfK,O=C(OCc1c(Cl)oc2ccccc12)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(Cl)oc2ccccc12)c1[nH]c2c(Br)cccc2c1CCCO,-53.52617381276188,0.2419434244367967,-43.61663285714284,0.28667647436322363,-9.199
ZINCsQ00001e1YP6,COc1ncc(Br)c(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,COc1ncc(Br)c(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-52.599412244380936,0.895438963053264,-43.44435666666668,0.9758814609556088,-8.151
ZINCtV000002EVzt,C[C@@H]1CC[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)[C@@H](C)C1,C[C@@H]1CC[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)[C@@H](C)C1,-52.51879189314285,0.44119859162568587,-40.20080023809524,0.35190719377129387,-9.343
ZINCsU00001bHhj3,COc1c(Cl)ccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,COc1c(Cl)ccc(Cl)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-52.51388878495241,0.6835043375821966,-41.963520714285735,0.8074894384319721,-8.272
ZINCqx00000sco5w,C[C@H](CN1CCOCC1)OC(=O)c1[nH]c2c(Br)cccc2c1CCCO,C[C@H](CN1CCOCC1)OC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-51.92262708361907,0.5845168113038475,-36.523677857142886,0.6414041870786913,-7.201
ZINCtU00000Q2DT7,O=C(OCc1c(Cl)ccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(Cl)ccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-51.49936725428576,0.772219237056501,-41.07266880952386,0.575386743084489,-8.235
ZINCrL00000EVEXc,CN(CCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,CN(CCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1ccccc1,-51.4945082952381,0.7129057483916797,-40.419013809523804,0.5833808891022838,-8.457
ZINCsV000004dQb9,Cc1cccc2c(CCC(=O)O[C@@H]3CCCC[C@@H]3[C@@H]3CCC[C@H](C)C3)c[nH]c12,Cc1cccc2c(CCC(=O)O[C@@H]3CCCC[C@@H]3[C@@H]3CCC[C@H](C)C3)c[nH]c12,-51.389752950095215,0.33040558848400914,-39.803940238095215,0.2962466024601766,-9.874
ZINCtU00000SaWO8,O=C(OCc1c(Br)cc(F)cc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(Br)cc(F)cc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-50.82010996876194,0.37759881970825215,-41.74323666666671,0.45623407130450794,-8.029
ZINCrU00000H9xib,Cc1cc(Br)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,Cc1cc(Br)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-50.49749131942853,0.6240176072979117,-41.30046380952378,0.7013008412037481,-8.849
ZINCpU00000MHar0,C=CCCCCCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO,C=CCCCCCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-50.13097836647615,0.5960473067410474,-41.648920714285666,0.6125457388996361,-7.953
ZINCtU00000Qxdl3,Cc1ccc(OCCCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1C,Cc1ccc(OCCCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1C,-50.03187023504772,0.44281286103780537,-39.966240714285824,0.4033590388107039,-8.983
ZINCtU00000RtaTS,O=C(CCc1c(-c2ccccc2)[nH]c2ccccc12)O[C@@H]1CCC[C@@H]2CCO[C@H]21,O=C(CCc1c(-c2ccccc2)[nH]c2ccccc12)O[C@@H]1CCC[C@@H]2CCO[C@H]21,-50.02694935942857,0.48082292456722403,-37.65251833333333,0.36642298683177243,-9.656
ZINCmA000003v4uE,Cc1[nH]c2ccccc2c1CCC(=O)OC1CC(N(C)C)C1,Cc1[nH]c2ccccc2c1CCC(=O)OC1CC(N(C)C)C1,-49.98387730857147,0.22693681786961314,-32.81894809523813,0.15884288216527606,-8.825
ZINCtV000002EW9i,C[C@@H]1CC[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C[C@@H]1C,C[C@@H]1CC[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C[C@@H]1C,-49.95546256152376,0.5441066754054574,-39.17232690476186,0.3959166597004516,-9.848
ZINCtT00000QZWUK,Cc1ccc([C@@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1[N+](=O)[O-],Cc1ccc([C@@H](C)OC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1[N+](=O)[O-],-49.93013694361899,0.9527213914216385,-40.01628523809519,0.8144016473656513,-8.474
ZINCsU00001Hl70T,Cc1cc(C2CC2)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,Cc1cc(C2CC2)ccc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.88963756914285,1.0524093278090951,-39.313819047619035,0.9358512960064371,-9.153
ZINCrS00000HsWdh,O=C(O[C@H]1CCc2c(F)cccc21)c1[nH]c2c(Br)cccc2c1CCCO,O=C(O[C@H]1CCc2c(F)cccc21)c1[nH]c2c(Br)cccc2c1CCCO,-49.86772973619045,0.3929271832221603,-41.723320238095205,0.3530650717101,-9.828
ZINCtW000002Qr6W,CC1(C)CCC(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)CC1,CC1(C)CCC(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)CC1,-49.85719731561897,0.22736835588079077,-38.1571035714285,0.3989803030727047,-8.837
ZINCtL000015Lnvv,COc1c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cccc1[N+](=O)[O-],COc1c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cccc1[N+](=O)[O-],-49.84950835790482,0.6199359935330763,-38.729949047619115,0.5644680318788002,-8.134
ZINCpI00000wRLqL,O=C(OCCOCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCCOCCC1CC1)c1[nH]c2c(Br)cccc2c1CCCO,-49.816487758857065,0.3039627754212979,-41.29415952380945,0.3683726520965998,-7.588
ZINCqO00000sO8KH,O=C(OCC(Br)=C1CCOCC1)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCC(Br)=C1CCOCC1)c1[nH]c2c(Br)cccc2c1CCCO,-49.781854082095194,0.5254072473690535,-39.36427761904757,0.4127255896874837,-8.431
ZINCqU00000D5mfC,C[C@@H]1CCC[C@@H](CCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C1,C[C@@H]1CCC[C@@H](CCOC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C1,-49.71499881333329,0.6149642493977568,-40.7165071428571,0.659913035507738,-8.419
ZINCtU000017Tkcq,O=C(OCc1cc(Cl)cc(Cl)c1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1cc(Cl)cc(Cl)c1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-49.70041332247613,0.5741083191719935,-40.28100357142851,0.60321030526316,-8.564
ZINCrU00000GQXvF,CC(C)c1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,CC(C)c1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1,-49.64279187466669,0.9032542786910576,-39.197549761904796,0.8664615657611253,-8.964
ZINCtV000002DgFd,C[C@@H]1CC[C@@H](C)[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C1,C[C@@H]1CC[C@@H](C)[C@@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)C1,-49.48428235123806,0.4693279286093208,-37.1751333333333,0.3965046819460194,-8.47
ZINCrR00000TRAfo,O=C(OCc1cccc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1cccc2c1CCC2)c1[nH]c2c(Br)cccc2c1CCCO,-49.43751052609524,0.875258136892318,-38.98388761904762,0.940531315699373,-9.455
ZINCrU00000H3fUc,O=C(OCc1c(Br)ccc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(Br)ccc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-49.410258420000034,0.9333313901060627,-38.673764761904806,0.7911851651333291,-8.713
ZINCsQ00001f5luV,CN(CCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)C1CCCCC1,CN(CCCOC(=O)c1[nH]c2c(Br)cccc2c1CCCO)C1CCCCC1,-49.40100634209524,0.9748736462569456,-35.965843809523804,0.7661559782149294,-8.632
ZINCpm00000SkaMQ,CN1C[C@@H](NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C[C@H]1CO,CN1C[C@@H](NC(=O)c2[nH]c3c(Br)cccc3c2CCCO)C[C@H]1CO,-49.27438249485715,0.49382781173297857,-34.42743476190476,0.511892592594654,-7.67
ZINCrQ00000FiLSz,Cc1noc(C(C)C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,Cc1noc(C(C)C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.2550039491429,0.42576981727302704,-41.333706666666714,0.4303520873988981,-8.716
ZINCrU00000EKcWB,O=C(OCc1c(F)ccc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(F)ccc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-49.23936237885717,0.5962629466274643,-40.827039523809546,0.7099840991680809,-8.671
ZINCsU00001moDIL,O=C(OCC1(Cc2ccccc2)CC1)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCC1(Cc2ccccc2)CC1)c1[nH]c2c(Br)cccc2c1CCCO,-49.219196883809545,0.4138578447161813,-40.39914452380954,0.5038194160201276,-9.209
ZINCsU00001a4Nyw,O=C(OCc1cccc2c1SCCC2)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1cccc2c1SCCC2)c1[nH]c2c(Br)cccc2c1CCCO,-49.186657427619096,0.31047567230393525,-38.38761904761909,0.2967572309932788,-9.221
ZINCqU00000roWZ8,O=C(OCc1ccc(F)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1ccc(F)cc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-49.16623231961898,0.3368169099553144,-41.32667595238089,0.37450211233214203,-8.876
ZINCtV000002EOYi,C[C@@H]1CC[C@H](C)[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Cl)cccc23)C1,C[C@@H]1CC[C@H](C)[C@H](OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Cl)cccc23)C1,-49.0554166308572,0.4608503952723325,-39.14906619047623,0.37638862697140296,-9.117
ZINCqU00000txeUW,Cc1cccc(Br)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,Cc1cccc(Br)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-49.024708543619106,0.3884778608661411,-40.21651952380959,0.5175850343102597,-8.958
ZINCsT00001svH7k,N#Cc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(Br)cc1F,N#Cc1cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c(Br)cc1F,-48.9753382087619,1.0081819715812685,-41.223982857142836,1.1748873023440007,-8.562
ZINCsU00001d2jbC,COc1cc(Cl)c(Br)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,COc1cc(Cl)c(Br)cc1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-48.89911446780956,0.5184569661365692,-36.399870476190515,0.4359365159349186,-8.218
ZINCsR00001bPSh4,O=C(OCc1cc(Cl)ccc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1cc(Cl)ccc1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-48.857742049714304,0.7769550959533695,-39.3871023809524,0.8842005713675996,-8.482
ZINCpS00000H21oz,C[C@H](COC(=O)c1[nH]c2c(Br)cccc2c1CCCO)C1CCCC1,C[C@H](COC(=O)c1[nH]c2c(Br)cccc2c1CCCO)C1CCCC1,-48.850287508380916,0.6125198816924102,-40.304297619047574,0.6298841612750709,-8.675
ZINCqB00000MqcOm,CCn1nnc(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CCn1nnc(C)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-48.824657475238055,0.6299719332249972,-40.48484309523808,0.7163198465576972,-7.926
ZINCrV00000EA3g6,O=C(OCc1c(Cl)ccc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,O=C(OCc1c(Cl)ccc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-48.823495144380985,0.7750939883706578,-38.588755476190514,0.9445378380623358,-8.706
ZINCrU00000EUudt,Cc1c(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Br,Cc1c(Cl)cc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Br,-48.72640514114288,0.6844655723078346,-38.879975476190516,1.0068121050174708,-9.033
ZINCtV000002pHA6,C=C1CCCC[C@H]1OC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2c(Cl)cccc12,C=C1CCCC[C@H]1OC(=O)CCc1c(-c2ccc(F)cc2)[nH]c2c(Cl)cccc12,-48.68472550723805,0.4294324556901141,-37.981114047619016,0.3423630564124059,-9.355
ZINCrU00000EnDi8,Cc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,Cc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Cl,-48.673057887428506,0.7495504972237876,-39.15439547619042,0.8183863649415872,-8.944
ZINCtW000002SKhg,Cc1cccc(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)c1Cl,Cc1cccc(OC(=O)CCc2c(-c3ccccc3)[nH]c3c(Br)cccc23)c1Cl,-48.66420125371428,0.5268220267815112,-36.14769404761905,0.356421807597923,-9.913
