name,target,smiles
ZINCbB0000000Ijs,-16.00872894457148,Cc1c[nH]c2cc(Cl)ccc12
ZINCbB0000000Ik2,-18.58956295600003,Cc1cc2ccc(Cl)cc2[nH]1
ZINCbm0000002HYV,-16.679405902476162,OCc1cc2ccccc2[nH]1
ZINCbn0000002HZK,-18.176412724380988,O=Cc1cc2c([nH]1)CCCC2
ZINCbp0000002HYU,-13.271410420571428,O=Cc1cc2ccccc2[nH]1
ZINCbw0000000Hf4,-18.601678608952408,CC[C@@H]1CNc2ccccc21
ZINCbw0000000Hfc,-22.146713525142932,CC[C@H]1CNc2ccccc21
ZINCbw0000000HhJ,-23.097165951619036,C[C@@H]1Nc2ccccc2[C@@H]1C
ZINCbw0000000HhK,-16.652896596952367,C[C@@H]1Nc2ccccc2[C@H]1C
ZINCbw0000000Hio,-17.81189050571428,C[C@@H]1c2ccccc2N[C@@H]1C
ZINCbw0000000Hip,-19.03351240380948,C[C@H]1Nc2ccccc2[C@@H]1C
ZINCbx0000000HwI,-21.583378967618984,CCc1c[nH]c2ccccc12
ZINCbx0000000HyU,-19.34404052399996,Cc1[nH]c2ccccc2c1C
ZINCc900000021Aj,-13.820722012571446,NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1
ZINCc90000002FtJ,-15.673610017904803,NC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1
ZINCc90000002FtK,-17.36332885733335,NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2N1
ZINCc90000003W3l,-16.5028515220952,NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2N1
ZINCcA0000000NCr,-20.679657254095233,CCc1[nH]c2ccccc2c1C
ZINCcA0000000NCs,-22.2966266620953,CCc1c(C)[nH]c2ccccc12
ZINCcA0000000NEX,-19.785902212952426,Cc1[nH]c2c(C)cccc2c1C
ZINCcA0000000NGc,-15.945586774666674,Cc1ccc2[nH]c(C)c(C)c2c1
ZINCcA0000000NzA,-19.267396286857213,CC1(C)CNc2cc(Cl)ccc21
ZINCcA0000000kAZ,-21.75518672228576,CCCOc1cc(C)cc(C)c1
ZINCcB0000000NNR,-17.92792178838097,BrCCc1c[nH]c2ccccc12
ZINCcB0000001wWS,-21.735411646476237,C=Cc1c(C)[nH]c2ccccc12
ZINCcC0000000O4w,-18.226329399047636,C=C(C)c1c[nH]c2ccccc12
ZINCcC0000000O5J,-17.90531096552377,CC(C)c1c[nH]c2ccccc12
ZINCcC0000000O9p,-20.464894121142827,Cc1c[nH]c2cc(Cl)c(F)cc12
ZINCcD0000000Oht,-22.777497594857202,CCc1c(Cl)[nH]c2ccccc12
ZINCcD0000000lTE,-23.83856495123811,CCOc1cc(C)c(Cl)c(C)c1
ZINCcF0000000OBw,-25.000323604000013,Cc1[nH]c2c(Br)cccc2c1C
ZINCcF0000000OBx,-22.21400107352384,Cc1[nH]c2cc(Br)ccc2c1C
ZINCcF0000000OBy,-17.561314367619126,Cc1[nH]c2ccc(Br)cc2c1C
ZINCcH0000000OPL,-20.195220441714305,Cc1cc2c(Cl)cc(Cl)cc2[nH]1
ZINCcH0000000OPM,-19.85696896876192,Cc1cc2cc(Cl)c(Cl)cc2[nH]1
ZINCcH0000000OPy,-21.442025388,Cc1c[nH]c2cc(Cl)cc(Cl)c12
ZINCcb0000001F6A,-17.54831821199997,NC(=O)[C@@H]1Cc2ccccc2N1
ZINCcb0000001F6C,-14.893739163428567,NC(=O)[C@H]1Cc2ccccc2N1
ZINCcg0000002KIV,-23.732165214476197,O=C(O)[C@@H]1CCC[C@@H]2CCCN21
ZINCcg0000002KIW,-27.895754334285687,O=C(O)[C@@H]1CCC[C@H]2CCCN21
ZINCcg0000002KIX,-21.871942106095236,O=C(O)[C@H]1CCC[C@@H]2CCCN21
ZINCcg0000002KIY,-21.579401032761915,O=C(O)[C@H]1CCC[C@H]2CCCN21
ZINCcg0000002KKr,-24.491990333142887,O=C(O)[C@@H]1CC[C@H]2CCCCN21
ZINCcg0000002KKs,-28.15242977542855,O=C(O)[C@@H]1CC[C@@H]2CCCCN21
ZINCcg0000002KKt,-24.793537225333285,O=C(O)[C@H]1CC[C@@H]2CCCCN21
ZINCcg0000002KKu,-22.626207798285698,O=C(O)[C@H]1CC[C@H]2CCCCN21
ZINCcg0000004S9L,-15.597802333714252,CN1c2ccccc2C[C@@H]1CO
ZINCcg0000004S9M,-16.109664992571396,CN1c2ccccc2C[C@H]1CO
ZINCcj0000002HZa,-22.642318553142896,OCc1cc2ccc(O)cc2[nH]1
ZINCcl0000002Du6,-16.912618331809597,NCC[C@@H]1CNc2ccccc21
ZINCcl0000002Du7,-18.85363302933333,NCC[C@H]1CNc2ccccc21
ZINCcl0000002JQJ,-16.061715859238046,O=C(O)c1cc2c([nH]1)CCCC2
ZINCcl0000002KgQ,-27.399138924761928,O=C(O)c1[nH]cc2c1CCCC2
ZINCcm0000002DiK,-15.85545496704763,NCCc1c[nH]c2ccccc12
ZINCcm0000002JSx,-15.900158213523872,O=C(O)c1ccc2ccccn12
ZINCcm0000002vkz,-16.81556601485717,Cn1c(CO)cc2ccccc21
ZINCcm0000002ymO,-18.138695568380932,COC[C@@H]1Cc2ccccc2N1
ZINCcm0000002ymP,-18.34083178057146,COC[C@H]1Cc2ccccc2N1
ZINCcn0000002HZ1,-18.17690489923813,OCc1cc2ccc(F)cc2[nH]1
ZINCcn0000002HZb,-13.565841473142825,OCc1cc2cc(F)ccc2[nH]1
ZINCcn0000002IC1,-14.897132533904763,OCCc1c[nH]c2ccccc12
ZINCco0000002JQf,-13.616695048190454,O=C(O)c1cc2ccccc2[nH]1
ZINCco0000002KgR,-14.262092942857143,O=C(O)c1[nH]cc2ccccc12
ZINCcp0000002IC0,-17.72585312876192,O=CCc1c[nH]c2ccccc12
ZINCcp0000002hQI,-19.868096590857157,Cc1ccc2[nH]c(CO)cc2c1
ZINCcp0000002hUF,-16.816727959999984,Cc1cccc2[nH]c(CO)cc12
ZINCcp0000002kCU,-13.27133399447619,Cc1[nH]c2ccccc2c1CN
ZINCcp0000002kCV,-19.24165161009523,Cc1[nH]c2ccccc2c1CO
ZINCcp0000002vky,-16.942653816761883,Cn1c(C=O)cc2ccccc21
ZINCcr0000000JFI,-17.492292315428543,CC[C@H]1C(=O)Nc2ccccc21
ZINCcr0000000JFj,-18.262431246285722,CC[C@@H]1C(=O)Nc2ccccc21
ZINCcr0000000JLc,-9.363826281142895,C[C@@H](N)c1c[nH]c2ccccc12
ZINCcr0000000JMB,-15.067376741904761,C[C@H](N)c1c[nH]c2ccccc12
ZINCcr0000000JNC,-21.78609730419044,Cc1[nH]c2c(c1C)C(=O)CCC2
ZINCcr0000000K1N,-13.877150927047627,O=Cc1cc2c(F)cccc2[nH]1
ZINCcr0000000K1O,-13.929680049142826,O=Cc1cc2cc(F)ccc2[nH]1
ZINCcr0000000K1P,-14.43012094133329,O=Cc1cc2ccc(F)cc2[nH]1
ZINCcr0000000K1Q,-15.080891464952419,O=Cc1cc2cccc(F)c2[nH]1
ZINCcs0000000Kkv,-15.63091511333332,C[C@@H](O)c1c[nH]c2ccccc12
ZINCcs0000000Kkw,-17.20141881390471,C[C@@H](O)c1cc2ccccc2[nH]1
ZINCcs0000000KlD,-21.523784036952314,C[C@H](O)c1c[nH]c2ccccc12
ZINCcs0000000KlE,-17.685946117523777,C[C@H](O)c1cc2ccccc2[nH]1
ZINCcs0000000KmB,-14.909324628190438,Cc1c(C=O)[nH]c2ccccc12
ZINCcs0000000Kmu,-14.28832701142861,Cc1[nH]c2ccccc2c1C=O
ZINCcs0000000Kp2,-18.626955931428547,Cc1ccc2[nH]c(C=O)cc2c1
ZINCcs0000000Kp8,-16.76595211219048,Cc1ccc2cc(C=O)[nH]c2c1
ZINCcs0000000KpG,-15.914050900952452,Cc1cccc2[nH]c(C=O)cc12
ZINCcs0000000KpJ,-18.26155527352379,Cc1cccc2cc(C=O)[nH]c12
ZINCcs0000000KsB,-21.709649499428586,N#CCc1c[nH]c2ccccc12
ZINCcs0000000Ku7,-21.065313247238056,NCc1c[nH]c2cc(Cl)ccc12
ZINCct0000000KEW,-15.86027370552381,CC(=O)c1c[nH]c2ccccc12
ZINCct0000000KFb,-17.161598174476175,CC(=O)c1cc2ccccc2[nH]1
ZINCct0000000KRC,-19.420077390285723,Cc1c(C#N)[nH]c2ccccc12
ZINCct0000000KRu,-13.570919570857168,Cc1[nH]c2c(N)cccc2c1C
ZINCct0000000KRv,-11.877977998095204,Cc1[nH]c2ccc(N)cc2c1C
ZINCct0000000KRw,-16.745768750095273,Cc1[nH]c2ccccc2c1C#N
ZINCct0000000L5t,-16.62890296476187,OCc1cc2c(Cl)cccc2[nH]1
ZINCct0000000L5u,-15.688937757333326,OCc1cc2cc(Cl)ccc2[nH]1
ZINCct0000000L5v,-15.360230840952436,OCc1cc2ccc(Cl)cc2[nH]1
ZINCcv0000000LZO,-18.628480761523814,O=C(Cl)c1cc2ccccc2[nH]1
ZINCcv0000000M1J,-18.180889874857147,O=Cc1[nH]c2ccccc2c1I
ZINCcw0000000MoY,-20.405788272000056,N#Cc1c[nH]c2cc(Cl)ccc12
ZINCcw0000000Msb,-19.151110836380994,O=Cc1[nH]c2ccccc2c1Cl
ZINCcw0000000Msi,-16.356038501333337,O=Cc1c[nH]c2cc(Cl)ccc12
ZINCcw0000000Mso,-14.504855699238144,O=Cc1cc2c(Cl)cccc2[nH]1
ZINCcw0000000Msp,-16.661259998476233,O=Cc1cc2cc(Cl)ccc2[nH]1
ZINCcw0000000Msq,-16.444801563428538,O=Cc1cc2ccc(Cl)cc2[nH]1
ZINCcw0000000gNe,-20.330928390476213,C[C@@H]1c2ccccc2N(C)[C@@H]1C
ZINCcw0000000gT6,-17.461601546857146,C[C@@H]1c2ccccc2N(C)[C@H]1C
ZINCcw0000000gT7,-20.41546176152392,C[C@@H]1[C@@H](C)c2ccccc2N1C
ZINCcw0000000gT8,-21.314739831238047,C[C@H]1c2ccccc2N(C)[C@H]1C
ZINCcx0000000MFP,-22.73066920800004,C[C@@H]1Nc2ccccc2C1(C)C
ZINCcx0000000MGC,-17.42383377561903,C[C@H]1Nc2ccccc2C1(C)C
