OCc1cc2ccccc2[nH]1	ZINCbm0000002HYV,0.42857142857142855
O=Cc1cc2c([nH]1)CCCC2	ZINCbn0000002HZK,0.42857142857142855
O=Cc1cc2ccccc2[nH]1	ZINCbp0000002HYU,0.42857142857142855
CC[C@@H]1CNc2ccccc21	ZINCbw0000000Hf4,0.42857142857142855
C[C@@H]1Nc2ccccc2[C@H]1C	ZINCbw0000000HhK,0.42857142857142855
CC[C@H]1CNc2ccccc21	ZINCbw0000000Hfc,0.42857142857142855
C[C@@H]1Nc2ccccc2[C@@H]1C	ZINCbw0000000HhJ,0.42857142857142855
C[C@H]1Nc2ccccc2[C@H]1C	ZINCbw0000000Hio,0.42857142857142855
C[C@H]1c2ccccc2N[C@@H]1C	ZINCbw0000000Hip,0.42857142857142855
CCc1c[nH]c2ccccc12	ZINCbx0000000HwI,0.42857142857142855
Cc1[nH]c2ccccc2c1C	ZINCbx0000000HyU,0.42857142857142855
Cc1c[nH]c2cc(Cl)ccc12	ZINCbB0000000Ijs,0.42857142857142855
Cc1cc2ccc(Cl)cc2[nH]1	ZINCbB0000000Ik2,0.42857142857142855
NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1	ZINCc900000021Aj,0.41379310344827586
NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2N1	ZINCc90000003W3l,0.41379310344827586
NC(=O)[C@@H]1C[C@H]2CCCC[C@H]2N1	ZINCc90000002FtK,0.41379310344827586
NC(=O)[C@@H]1C[C@H]2CCCC[C@@H]2N1	ZINCc90000002FtJ,0.41379310344827586
NC(=O)[C@@H]1Cc2ccccc2N1	ZINCcb0000001F6A,0.41379310344827586
NC(=O)[C@H]1Cc2ccccc2N1	ZINCcb0000001F6C,0.41379310344827586
O=C(O)[C@@H]1CC[C@H]2CCCCN12	ZINCcg0000002KKr,0.41379310344827586
O=C(O)[C@H]1CC[C@@H]2CCCCN21	ZINCcg0000002KKt,0.41379310344827586
O=C(O)[C@@H]1CCC[C@@H]2CCCN12	ZINCcg0000002KIV,0.41379310344827586
O=C(O)[C@@H]1CCC[C@H]2CCCN21	ZINCcg0000002KIW,0.41379310344827586
O=C(O)[C@H]1CCC[C@@H]2CCCN21	ZINCcg0000002KIX,0.41379310344827586
O=C(O)[C@H]1CCC[C@H]2CCCN21	ZINCcg0000002KIY,0.41379310344827586
O=C(O)[C@@H]1CC[C@@H]2CCCCN21	ZINCcg0000002KKs,0.41379310344827586
O=C(O)[C@H]1CC[C@H]2CCCCN21	ZINCcg0000002KKu,0.41379310344827586
CN1c2ccccc2C[C@@H]1CO	ZINCcg0000004S9L,0.41379310344827586
CN1c2ccccc2C[C@H]1CO	ZINCcg0000004S9M,0.41379310344827586
OCc1cc2ccc(O)cc2[nH]1	ZINCcj0000002HZa,0.41379310344827586
O=C(O)c1cc2c([nH]1)CCCC2	ZINCcl0000002JQJ,0.4642857142857143
NCC[C@@H]1CNc2ccccc21	ZINCcl0000002Du6,0.41379310344827586
NCC[C@H]1CNc2ccccc21	ZINCcl0000002Du7,0.41379310344827586
O=C(O)c1[nH]cc2c1CCCC2	ZINCcl0000002KgQ,0.41379310344827586
Cn1c(CO)cc2ccccc21	ZINCcm0000002vkz,0.41379310344827586
COC[C@@H]1Cc2ccccc2N1	ZINCcm0000002ymO,0.41379310344827586
NCCc1c[nH]c2ccccc12	ZINCcm0000002DiK,0.41379310344827586
O=C(O)c1ccc2ccccn12	ZINCcm0000002JSx,0.41379310344827586
COC[C@H]1Cc2ccccc2N1	ZINCcm0000002ymP,0.41379310344827586
OCc1cc2ccc(F)cc2[nH]1	ZINCcn0000002HZ1,0.41379310344827586
OCCc1c[nH]c2ccccc12	ZINCcn0000002IC1,0.41379310344827586
OCc1cc2cc(F)ccc2[nH]1	ZINCcn0000002HZb,0.41379310344827586
O=C(O)c1cc2ccccc2[nH]1	ZINCco0000002JQf,0.4642857142857143
O=C(O)c1[nH]cc2ccccc12	ZINCco0000002KgR,0.41379310344827586
Cc1ccc2[nH]c(CO)cc2c1	ZINCcp0000002hQI,0.41379310344827586
Cc1[nH]c2ccccc2c1CO	ZINCcp0000002kCV,0.41379310344827586
Cn1c(C=O)cc2ccccc21	ZINCcp0000002vky,0.41379310344827586
Cc1cccc2[nH]c(CO)cc12	ZINCcp0000002hUF,0.41379310344827586
Cc1[nH]c2ccccc2c1CN	ZINCcp0000002kCU,0.41379310344827586
O=CCc1c[nH]c2ccccc12	ZINCcp0000002IC0,0.41379310344827586
Cc1[nH]c2c(c1C)C(=O)CCC2	ZINCcr0000000JNC,0.41379310344827586
O=Cc1cc2c(F)cccc2[nH]1	ZINCcr0000000K1N,0.41379310344827586
O=Cc1cc2cc(F)ccc2[nH]1	ZINCcr0000000K1O,0.41379310344827586
O=Cc1cc2cccc(F)c2[nH]1	ZINCcr0000000K1Q,0.41379310344827586
CC[C@H]1C(=O)Nc2ccccc21	ZINCcr0000000JFI,0.41379310344827586
CC[C@@H]1C(=O)Nc2ccccc21	ZINCcr0000000JFj,0.41379310344827586
C[C@@H](N)c1c[nH]c2ccccc12	ZINCcr0000000JLc,0.41379310344827586
C[C@H](N)c1c[nH]c2ccccc12	ZINCcr0000000JMB,0.41379310344827586
O=Cc1cc2ccc(F)cc2[nH]1	ZINCcr0000000K1P,0.41379310344827586
C[C@@H](O)c1c[nH]c2ccccc12	ZINCcs0000000Kkv,0.41379310344827586
C[C@@H](O)c1cc2ccccc2[nH]1	ZINCcs0000000Kkw,0.41379310344827586
C[C@H](O)c1cc2ccccc2[nH]1	ZINCcs0000000KlE,0.41379310344827586
Cc1[nH]c2ccccc2c1C=O	ZINCcs0000000Kmu,0.41379310344827586
Cc1ccc2[nH]c(C=O)cc2c1	ZINCcs0000000Kp2,0.41379310344827586
Cc1ccc2cc(C=O)[nH]c2c1	ZINCcs0000000Kp8,0.41379310344827586
Cc1cccc2cc(C=O)[nH]c12	ZINCcs0000000KpJ,0.41379310344827586
N#CCc1c[nH]c2ccccc12	ZINCcs0000000KsB,0.41379310344827586
NCc1c[nH]c2cc(Cl)ccc12	ZINCcs0000000Ku7,0.41379310344827586
